source,block,size,seed,variant,u_max,repeat,encoding,encoding_source,epsilon,agent,eval_interval,commit,tag,do_ga,er_buffer_size,er_min_samples,er_samples_number,verdict,trials,knowledge,reliable,spec,n_bits,peak_macro,peak_rss_gb,wall_s,trials_per_s
slurm_mpx135_s42_u9.out,1,135,42,pyalcs,9,0,flip,wrapper-default,0.8,,,,,true,,,,TIME-LIMITED,6080000,0.0,0,0.0,136,22335,0.0,21600.3,281.48
slurm_mpx135_s43_eps1_u11.out,1,135,43,pyalcs,11,0,flip,wrapper-default,1,acs2,,,,true,,,,SUCCESS,427920000,1.0,532,8.02,136,56663,0.0,548345.1,780.38
slurm_mpx135_s43_u11cover.out,1,135,43,pyalcs,11,0,flip,wrapper-default,0.8,acs2,,,,true,,,,TIME-LIMITED,281210000,0.498,257,8.05,136,48552,0.0,600008.0,468.68
slurm_mpx135_s43_u12long.out,1,135,43,pyalcs,12,0,flip,wrapper-default,0.8,,,,,true,,,,TIME-LIMITED,353092500,0.4985,261,8.05,136,77760,0.0,600053.2,588.44
slurm_mpx135_s44_u11cover.out,1,135,44,pyalcs,11,0,flip,wrapper-default,0.8,acs2,,,,true,,,,TIME-LIMITED,256199500,0.498,260,8.01,136,59597,0.0,600027.0,426.98
slurm_mpx135_s45_u11cover.out,1,135,45,pyalcs,11,0,flip,wrapper-default,0.8,acs2,,,,true,,,,TIME-LIMITED,233203500,0.4918,261,8.11,136,51873,0.0,600008.0,388.67
slurm_mpx135_s42_outcome_u11.out,1,135,42,pyalcs,11,0,outcome,filename,0.8,acs2,,,,true,,,,SUCCESS,43200000,1.0,539,8.0,136,81276,0.0,181821.5,237.6
slurm_mpx135_s43_outcome_u11.out,1,135,43,pyalcs,11,0,outcome,filename,0.8,acs2,,,,true,,,,SUCCESS,46800000,1.0,539,8.0,136,76511,0.0,283679.5,164.97
slurm_mpx135_s45_outcome_u11.out,1,135,45,pyalcs,11,0,outcome,filename,0.8,acs2,,,,true,,,,SUCCESS,55560000,1.0,532,8.0,136,77985,0.0,291115.4,190.85
slurm_mpx135_s46_outcome_u11.out,1,135,46,pyalcs,11,0,outcome,filename,0.8,acs2,,,,true,,,,SUCCESS,30240000,1.0,535,8.01,136,82432,0.0,207223.6,145.93
slurm_mpx264_s42_probe264.out,1,264,42,pyalcs,12,0,outcome,submission-record,0.8,acs2,,,,true,,,,TIME-LIMITED,1165000,0.0,0,0.0,265,60366,0.86,43201.7,26.97
