source,size,seed,variant,u_max,repeat,trials,wall_s,knowledge,reliable,spec,pop
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,5640000,2891.0,0.6696,187,7.16,1415
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,5700000,2919.0,0.6701,184,7.15,1874
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,5760000,2944.0,0.6679,180,7.14,1417
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,5820000,2970.0,0.6707,187,7.14,1337
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,5880000,2996.0,0.6705,188,7.04,1475
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,5940000,3022.0,0.6692,188,7.04,1497
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,6000000,3044.0,0.6654,178,7.04,1429
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,6060000,3069.0,0.6715,184,7.05,1420
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,6120000,3104.0,0.6728,184,7.07,1901
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,6180000,3121.0,0.6712,184,7.06,1356
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,6240000,3152.0,0.6729,183,7.04,1461
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,6300000,3185.0,0.6758,181,7.02,1347
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,6360000,3226.0,0.6758,182,7.02,1377
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,6420000,3259.0,0.6735,188,7.03,1360
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,6480000,3281.0,0.6744,187,7.08,1814
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,6540000,3305.0,0.6715,187,7.13,1378
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,6600000,3349.0,0.6728,188,7.15,1566
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,6660000,3374.0,0.6707,184,7.12,1715
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,6720000,3396.0,0.6762,191,7.13,1475
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,6780000,3428.0,0.6753,188,7.12,1416
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,6840000,3457.0,0.6744,184,7.12,1343
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,6900000,3482.0,0.6755,183,7.11,1389
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,6960000,3504.0,0.6758,188,7.13,1428
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,7020000,3525.0,0.6769,189,7.15,1793
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,7080000,3544.0,0.6749,186,7.13,2369
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,7140000,3567.0,0.6782,184,7.14,1392
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,7200000,3609.0,0.6772,189,7.12,1410
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,7260000,3627.0,0.6734,193,7.1,2465
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,7320000,3659.0,0.6747,185,7.15,1423
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,7380000,3686.0,0.6816,184,7.12,1672
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,7440000,3729.0,0.6828,186,7.09,1440
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,7500000,3752.0,0.6842,184,7.09,2139
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,7560000,3776.0,0.6857,190,7.1,1424
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,7620000,3799.0,0.6928,192,7.1,3817
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,7680000,3828.0,0.6906,196,7.1,1556
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,7740000,3853.0,0.6885,188,7.11,1601
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,7800000,3885.0,0.6894,194,7.11,1401
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,7860000,3921.0,0.6941,191,7.1,1537
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,7920000,3953.0,0.6962,190,7.12,3477
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,7980000,3985.0,0.7009,201,7.13,1326
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,8040000,4011.0,0.7039,198,7.1,1352
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,8100000,4039.0,0.6992,194,7.13,1508
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,8160000,4078.0,0.7001,196,7.12,1667
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,8220000,4101.0,0.7037,196,7.16,1299
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,8280000,4132.0,0.7013,195,7.17,1436
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,8340000,4163.0,0.6974,193,7.16,3111
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,8400000,4190.0,0.7005,189,7.19,2528
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,8460000,4221.0,0.7028,194,7.15,1389
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,8520000,4240.0,0.7077,195,7.16,1406
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,8580000,4269.0,0.7078,200,7.16,1500
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,8640000,4296.0,0.7078,195,7.2,1255
mpx_m3_e1_traj70_pyalcs.log,70,42,pyalcs,8,0,8700000,4330.0,0.706,196,7.15,5996
